Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,,,,0.15,0.15,0.19,0.17,0.18,0.2,0.24,0.28,0.26,0.28,0.32,0.33,0.37,0.38,0.38,0.56,0.91,0.82,0.92,1.02,1.18,1.37,1.68,1.96,1.96,1.54,1.89,1.93,1.99,2.24,2.76,3.41,3.24,3.22,3.4,3.53,4.15,4.78,5.12,5.16,5.06,5.46,5.64,5.07,5.78,7.03,8.66,9.89,11.05,13.1,15.72,13.04,16.1,19.55,20.89,19.39
Austria,,,0.09,0.09,0.1,0.12,0.12,0.13,0.14,0.16,0.18,0.2,0.19,0.21,0.24,0.3,0.35,0.43,0.59,0.75,0.78,0.96,1.18,1.33,1.68,2.03,1.75,1.62,1.62,1.63,1.74,2.23,2.71,3.05,3.24,4.08,4.23,4.5,4.05,4.59,5.76,5.85,5.45,5.74,5.94,6.02,6.22,6.5,8.28,9.98,10.6,11.43,13.57,15.27,11.87,13.24,15.93,14.88,15.18
Belgium,,,0.28,0.26,0.28,0.33,0.35,0.38,0.42,0.49,0.54,0.6,0.6,0.68,0.83,0.95,1.03,1.28,1.83,2.48,2.56,2.95,3.37,4.04,5.07,5.98,5.18,4.84,4.6,4.61,4.65,5.72,6.94,7.69,8.21,10,10.04,10.43,9.54,10.81,13.81,13.99,13.22,13.96,13.73,14.76,14.89,16.47,19.55,23.77,26.53,29.29,34.26,38.63,29.45,32.57,38.75,36.61,37.54
Brazil,,,,,,,,,,,,,,,,,0.27,0.35,0.52,1.05,1.02,1.03,1,1.14,1.51,1.91,1.84,1.62,1.29,1.16,1.1,1.17,1.25,1.22,1.52,1.72,1.75,1.71,2.1,2.76,4.16,4.45,4.98,4.81,4.11,4.65,4.63,3.94,4.03,5.24,6.13,7.61,10.05,14.42,10.64,15.15,18.85,18.59,19.97
Canada,,,0.48,0.43,0.48,0.47,0.47,0.49,0.51,0.58,0.67,0.78,0.84,0.96,1.09,1.11,1.29,1.57,1.94,2.7,2.84,3.17,3.32,3.66,4.47,4.94,5.52,4.58,5.11,6.14,6.37,6.75,7.3,8.88,9.51,9.73,9.85,10.2,10.98,12.37,13.69,14.21,16.42,16.76,17.97,20.03,18.47,18.52,20,22.79,26.19,29.17,31.59,33.88,26.68,32.65,37.63,38.53,38.42
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,1.73,1.65,1.33,1.54,1.48,1.43,1.49,1.91,2.56,3.04,3.7,4.87,3.34,4.62,5.91,6.24,6.25
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,8.66,9.63,11.01,11.57,11.86,11.69,13.81,18.76,20.3,24.61,34.42,46.77,55,65.95,79.69,94.37,83.83,116.35,145.23,151.51,162.52
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.87,1.22,1.44,2.09,2.32,2.26,2.36,2.34,2.68,3.04,3.38,4.27,5.67,6.37,7.77,9.82,11.74,8.7,10.53,12.67,11.8,11.96
Denmark,,,0.11,0.11,0.13,0.15,0.16,0.18,0.18,0.22,0.23,0.25,0.26,0.27,0.32,0.37,0.38,0.42,0.65,0.83,0.87,0.99,1.11,1.21,1.54,1.61,1.46,1.39,1.36,1.38,1.51,1.9,2.12,2.27,2.33,2.76,2.83,2.96,2.61,3.04,3.81,3.75,3.7,3.85,3.71,3.7,3.68,4.07,4.68,5.57,6.06,7.01,8.1,9.04,6.68,6.93,8.05,7.69,8.19
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.14,0.21,0.27,0.37,0.4,0.34,0.42,0.44,0.49,0.66,0.69,0.85,1.12,1.3,1.33,0.84,1.02,1.43,1.45,1.51
Finland,,,0.07,0.06,0.07,0.09,0.1,0.1,0.1,0.12,0.14,0.14,0.14,0.13,0.17,0.22,0.23,0.26,0.36,0.57,0.64,0.62,0.64,0.66,0.95,1.31,1.19,1.12,1.07,1.04,1.1,1.28,1.57,1.83,2.05,2.25,1.81,1.76,1.5,1.92,2.56,2.67,2.66,2.73,2.68,2.86,2.72,2.84,3.54,4.28,4.89,5.78,6.8,7.6,5.05,5.73,7.01,6.37,6.43
France,,,0.51,0.46,0.43,0.53,0.56,0.64,0.73,0.85,0.87,0.99,1.04,1.16,1.43,1.5,1.66,2.1,2.91,4.14,4.3,5.11,5.61,6.56,8.58,10.86,9.75,9.21,8.37,8.32,8.64,10.39,12.77,14.48,15.59,18.88,18.61,19.3,17.92,20.36,24.23,24.79,23.54,25.44,26.3,28.18,27.38,27.35,33.19,39.2,41.97,45.14,52.51,59.38,46.78,50.87,59.94,56.22,56.69
Germany,,,0.63,0.64,0.71,0.85,0.92,1.03,1.09,1.23,1.47,1.51,1.47,1.69,2.08,2.5,2.87,3.36,4.54,5.79,6.24,7.35,8.44,10.11,13.28,15.66,13.62,12.93,12.73,12.71,13.13,15.87,18.99,20.86,22.45,28.71,32.35,34.02,28.83,31.99,40.34,39.16,36.94,38.96,39.49,41.34,40.51,40.72,50.32,59.58,64.69,75.53,87.82,98.17,76.89,87.82,104.46,96.98,98.93
Greece,,,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.09,0.1,0.1,0.12,0.13,0.16,0.17,0.2,0.29,0.37,0.45,0.51,0.57,0.65,0.8,0.89,0.74,0.83,0.8,0.8,0.85,0.95,1.15,1.03,1.35,1.65,1.8,1.96,2.33,2.12,2.43,2.62,2.47,2.6,2.66,2.83,2.75,2.62,3.73,4.67,4.81,5.53,6.86,7.9,6.02,5.57,5.61,5.27,5.18
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.93,1.05,1.22,1.28,1.51,1.77,2.14,2.34,2.68,2.81,3.14,3.97,4.96,5.45,6.32,7.85,8.94,6.4,7.29,8.45,7.87,8.26
Iceland,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.04,0.05,0.06,0.07,0.08,0.09,0.08,0.07,0.07,0.08,0.09,0.13,0.13,0.12,0.14,0.14,0.14,0.11,0.12,0.15,0.17,0.17,0.21,0.21,0.21,0.19,0.19,0.24,0.31,0.42,0.52,0.53,0.48,0.3,0.33,0.4,0.39,0.4
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.68,1.97,1.9,2.24,2.9,3.12,3.44,3.58,3.92,4.28,4.18,4.71,5.92,8.1,11.68,14.52,18.92,26.7,21.34,29.16,38.69,40.76,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,2.16,2.27,2.36,2.67,3.39,3.58,3.47,2.28,2,2.79,2.58,2.61,2.71,3.88,4.81,5.09,6.21,10.77,8.07,11.31,14.7,15.97,
Ireland,,,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.08,0.09,0.09,0.09,0.1,0.12,0.13,0.15,0.18,0.23,0.32,0.31,0.35,0.45,0.59,0.82,0.93,0.88,0.81,0.76,0.8,0.83,0.96,1.13,1.3,1.45,1.72,1.72,1.87,1.82,2.14,2.6,2.84,3.31,3.6,3.9,4.24,4.21,4.35,4.48,5.15,5.71,6.09,6.98,6.96,5.2,5.02,5.54,5.23,5.44
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,1.09,1.26,1.39,1.54,1.68,1.95,2.33,2.47,2.39,2.25,2.55,2.94,2.72,2.71,2.81,3.36,3.7,3.94,4.68,5.38,3.91,4.89,6.06,6.02,5.92
Italy,,,0.31,0.27,0.28,0.4,0.44,0.51,0.64,0.6,0.61,0.72,0.82,0.86,1.04,1.24,1.33,1.61,2.32,3.42,3.2,3.68,4.01,4.7,6.48,8.33,7.6,7.16,6.69,7.03,7.54,8.33,10.38,11.53,12.74,15.14,15.16,15.7,12.35,14.08,15.6,17.15,17.56,18.11,18.38,19.85,19.68,20.52,24.76,29.57,32.03,36.87,42.59,46.55,34.45,40.55,46.52,40.73,39.76
Japan,,,0.36,0.25,0.3,0.37,0.48,0.47,0.56,0.66,0.68,0.79,0.97,1.08,1.26,1.58,1.65,1.96,3.19,5.16,4.82,5.4,5.94,6.62,9.22,11.76,11.89,10.93,10.53,11.34,10.86,10.66,12.53,15.61,17.5,19.48,19.77,19.42,20.11,22.91,27.95,29.1,28.21,23.34,25.81,31.64,29.1,28.09,31.89,37.92,43.09,48.23,51.76,63.64,45.86,57.7,71.21,73.81,69.39
Korea,,,0.04,0.03,0.03,0.03,0.03,0.04,0.05,0.03,0.04,0.06,0.08,0.12,0.15,0.17,0.2,0.21,0.35,0.57,0.61,0.73,0.9,1.25,1.69,1.86,2.18,2.02,2.18,2.55,2.59,2.66,3.42,4.32,5.12,5.82,6.79,6.81,6.98,8.53,11.26,12.53,12.05,7.77,9.98,13.37,11.76,12.68,14.9,18.71,21.77,25.78,29.74,36.27,26.92,35.43,43.7,43.3,42.96
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.23,0.22,0.24,0.26,0.35,0.44,0.48,0.52,0.63,0.67,0.69,0.64,0.7,0.83,0.8,0.79,0.85,0.93,0.94,1.03,1.05,1.35,1.67,1.88,2.26,2.33,2.66,2.1,2.09,2.4,2.28,2.22
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,2.08,1.25,0.75,1.01,1.21,1.04,1.11,1.69,2.12,2.61,4.16,5.18,5.45,6.61,6.04,7.46,9.15,10.45,11.83,14.54,14.03,14.06,14.21,16.4,18.48,21.34,23.5,25.72,19.53,25.12,29.24,30.9,31.77
Netherlands,,,0.34,0.3,0.33,0.38,0.43,0.45,0.5,0.59,0.63,0.67,0.7,0.77,0.92,1.12,1.28,1.46,2.05,2.8,2.96,3.39,3.88,4.47,5.68,6.51,5.58,5.36,5.05,5.17,5.39,6.29,7.6,8.28,8.68,10.51,10.54,11.21,10.37,11.74,14.49,16.38,15.83,16.15,17.17,18.15,17.39,18.21,22.03,26.61,30.29,34.72,41,48.12,36.78,42.99,49.87,49.22,49.21
New Zealand,,,0.07,0.07,0.05,0.07,0.07,0.06,0.08,0.08,0.09,0.09,0.08,0.07,0.08,0.1,0.11,0.13,0.18,0.31,0.26,0.27,0.28,0.29,0.38,0.46,0.48,0.49,0.45,0.52,0.5,0.51,0.6,0.61,0.73,0.79,0.7,0.77,0.8,0.99,1.16,1.23,1.21,1.04,1.19,1.16,1.11,1.25,1.54,1.93,2.19,2.2,2.56,2.84,2.09,2.54,3.09,3.19,
Norway,,,0.11,0.11,0.11,0.12,0.13,0.14,0.15,0.16,0.18,0.2,0.23,0.23,0.25,0.31,0.34,0.36,0.52,0.7,0.81,0.92,1.07,0.96,1.14,1.41,1.3,1.29,1.12,1.15,1.29,1.69,1.88,1.93,1.97,2.26,2.12,2.17,2.01,2.28,2.74,2.96,2.97,3.12,2.85,2.87,2.74,2.88,3.34,4.03,4.63,5.35,6.67,7.44,5.7,6.44,7.56,7.28,7.5
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,1.34,1.56,1.78,2.42,3.1,3.53,3.89,3.83,4.09,4.2,4.59,5.68,7.43,8.46,10.58,13.77,17.19,12.38,14.82,17.29,16.61,17.09
Portugal,,,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.1,0.13,0.15,0.18,0.25,0.37,0.33,0.36,0.42,0.44,0.57,0.79,0.82,0.79,0.68,0.66,0.64,0.78,1.1,1.31,1.57,2.07,2.18,2.47,1.96,2.27,2.78,3,2.95,3.18,3.33,3.32,3.29,3.34,3.93,4.57,5.32,5.89,6.84,7.82,5.95,6.47,6.86,6.02,6.26
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,5.3,3.84,4.21,5.08,5.74,6,4.83,3.29,3.74,4.48,5.08,6.34,8.12,10.32,13.69,18.62,24.33,15.98,20.72,26.99,27.99,28.69
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,0.73,0.93,0.98,1.09,0.31,0.35,0.42,0.97,1.36,1.87,2.25,3.03,4.5,5.91,4.62,5.41,6.65,6.45,6.81
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.63,0.62,0.96,1.18,1.48,1.69,2.01,2.63,3.07,2.2,2.51,2.96,2.67,2.79
South Africa,,,0.14,0.14,0.12,0.14,0.12,0.13,0.15,0.19,0.22,0.2,0.24,0.23,0.26,0.32,0.36,0.33,0.44,0.64,0.67,0.6,0.53,0.64,0.73,1.64,1.87,1.51,1.29,1.31,0.91,1.05,1.25,1.55,1.52,1.53,1.57,1.65,1.67,1.95,2.55,2.51,2.75,2.44,2.22,2.48,2.29,2.22,2.83,3.93,4.58,5.69,6.64,7.29,5.32,6.67,8.32,8.45,
Spain,,,,,,,,,,,,0.3,0.29,0.29,0.35,0.4,0.42,0.57,0.8,1.28,1.35,1.46,1.48,1.56,2.11,2.82,2.68,2.63,2.42,2.4,2.49,2.95,4.07,5.04,5.91,7.29,7.76,8.3,6.63,7.68,9.65,10.45,9.66,11.32,11.28,12.98,12.89,13.71,17.36,21.5,24.04,27.38,32.4,34.86,24.34,27.23,31.35,28.12,28.23
Sweden,,,0.2,0.2,0.2,0.24,0.24,0.26,0.28,0.32,0.37,0.38,0.39,0.43,0.49,0.58,0.59,0.68,0.91,1.39,1.5,1.59,1.68,1.71,2.39,2.79,2.41,2.31,2.18,2.2,2.37,2.72,3.39,3.82,4.09,4.56,4.15,4.16,3.58,4.31,5.38,5.57,5.47,5.71,5.75,6.12,5.34,5.63,7.01,8.39,9.3,10.62,12.76,13.87,9.92,12.37,14.74,13.66,13.19
Switzerland,,,,,,0.18,0.22,0.25,0.27,0.3,0.3,0.32,0.34,0.37,0.43,0.54,0.6,0.71,0.96,1.2,1.11,1.23,1.49,1.97,2.44,2.93,2.55,2.38,2.42,2.45,2.54,3.41,4.2,4.69,4.85,5.8,5.54,5.48,5.07,5.65,6.66,6.52,6.33,6.66,6.66,6.88,6.98,6.95,7.94,9.27,10.26,11.52,12.75,14.37,13.18,13.91,16.38,15.71,15.89
Turkey,,,0.03,0.02,0.01,0.02,0.04,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.07,,,,,,,,,,,0.51,0.84,0.77,0.82,0.96,0.98,0.92,1.19,1.2,1.33,1.88,1.78,1.94,2.5,1.91,3.01,3.65,4.08,3.81,3.42,4.57,3.43,4.32,5.74,8.16,9.78,11.72,14.17,16.6,11.73,15.49,20.13,19.83,
United Kingdom,,,0.95,0.9,0.96,1.09,1.06,1.08,1.16,1.33,1.34,1.39,1.47,1.58,1.66,1.88,2.05,2.36,3.29,4.58,4.51,4.76,5.37,6.4,8.35,9.57,8.52,8.32,8.28,8.73,9.08,10.46,12.81,15.8,16.6,18.66,17.47,18.41,17.04,19.12,22.3,24.21,25.81,26.11,26.44,27.85,27.09,28.14,31.78,38.07,40.74,46.67,52.11,52.39,40.21,46.64,53.03,53.81,53.34
United States,0.95,1.05,1.12,1.12,1.31,1.26,1.23,1.37,1.43,1.56,1.79,2.13,2.24,2.77,3,3.33,3.8,4.63,5.79,9,8.65,10.82,13.13,15.26,18.24,21.42,22.78,21.24,22.49,28.86,29.37,31.86,35.37,38.3,39.43,41.28,40.7,44.39,48.39,55.27,61.96,66.27,72.56,75.99,85.38,101.5,95.08,96.78,104.76,122.48,139.45,154.49,163.08,175.3,129.97,159.43,184,189.61,188.96
